Please specify your gender,Once in a while I can't control the urge to strike another person,I refrain from physical duels even when ticked-off by others,"Given enough provocation, I might hit another person",I can think of no good reason for hurting another person,"If someone hits me, I hit back",I get into fights a little more than the average person,I have never threatened people I know,"If I have to resort to violence to protect my rights, I will",I have never become so mad that I have broken things,What is an estimate for the number of fights you've been involved in over the last six months,For how many years or months have you been listening to Drill music,"On average, how many hours a week do you spend listening to Drill music","Lastly, please indicate your age below"
Male,3.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,3.0,0.0,3.0,50.0,16
Male,5.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,1.0,0.0,4.0,35.0,18
Male,2.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,1.0,3.0,4.0,35.0,18
Male,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,10.0,3.0,46.0,15
Male,1.0,5.0,4.0,4.0,5.0,1.0,2.0,5.0,3.0,2.0,1.0,24.0,16
Male,1.0,3.0,4.0,2.0,4.0,1.0,2.0,5.0,5.0,1.0,6.0,25.0,16
Male,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,30.0,16
Male,4.0,3.0,3.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,5.0,26.0,17
Male,3.0,4.0,3.0,4.0,5.0,1.0,2.0,4.0,5.0,0.0,48.0,32.0,15
Male,1.0,3.0,3.0,2.0,1.0,1.0,3.0,5.0,2.0,0.0,1.0,26.0,14
Male,4.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,2.0,0.0,4.0,35.0,16
Male,1.0,3.0,5.0,3.0,5.0,1.0,2.0,5.0,2.0,0.0,3.0,30.0,20
Male,5.0,2.0,4.0,1.0,5.0,1.0,3.0,4.0,2.0,0.0,4.0,72.0,18
Male,2.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,0.0,18.0,30.0,21
Male,1.0,3.0,1.0,2.0,5.0,1.0,1.0,5.0,4.0,0.0,2.0,26.0,19
Male,2.0,2.0,5.0,2.0,5.0,1.0,1.0,5.0,1.0,0.0,4.0,70.0,16
Male,2.0,2.0,5.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,2.0,40.0,14
Male,3.0,2.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,26.0,16
Male,1.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,0.0,4.0,30.0,19
Male,4.0,2.0,5.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,5.0,100.0,20
Male,1.0,5.0,5.0,4.0,5.0,1.0,2.0,5.0,2.0,0.0,2.0,30.0,19
Male,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,6.0,35.0,16
Male,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,25.0,17
Male,1.0,2.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,0.0,2.0,30.0,15
Male,4.0,3.0,5.0,3.0,4.0,1.0,4.0,5.0,3.0,0.0,24.0,24.0,15
Male,1.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,1.0,0.0,3.0,30.0,15
Male,1.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,7.0,30.0,20
Male,4.0,2.0,5.0,1.0,5.0,3.0,1.0,5.0,4.0,0.0,4.0,24.0,18
Male,2.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,0.0,5.0,24.0,18
Male,2.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,30.0,17
Male,2.0,1.0,4.0,2.0,5.0,4.0,2.0,5.0,2.0,10.0,3.0,48.0,16
Male,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,48.0,15
